ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros %
*03r8x*,Callum Wilson,NEW,F,38,FA,AVL Sat 12:30PM,334.75,10.8,100%,50.6,100%
*02lm7*,Jack Grealish,MCI,M,39,FA,@BUR Fri 3:00PM,332,11.86,100%,14.68,100%
*0427d*,James Tarkowski,EVE,D,40,FA,FUL Sat 10:00AM,331.5,8.72,96%,82.49,100%
*04ge6*,Joe Willock,NEW,M,41,FA,AVL Sat 12:30PM,331.5,9.47,63%,136.52,100%
*05oyq*,Said Benrahma,WHU,M,42,FA,@BOU Sat 10:00AM,329.25,9.41,97%,88.7,100%
*04yo6*,Miguel Almiron,NEW,F,43,FA,AVL Sat 12:30PM,326,9.59,99%,76.3,100%
*03jly*,Andreas Pereira,FUL,M,44,FA,@EVE Sat 10:00AM,324.25,9.83,99%,75.39,100%
*04abn*,Harvey Barnes,NEW,M,45,FA,AVL Sat 12:30PM,319.25,9.39,100%,66.05,100%
*043qz*,Pierre-Emile Hojbjerg,TOT,M,46,FA,@BRF Sun 9:00AM,319.25,9.12,43%,137.34,100%
*0524k*,Rodri,MCI,M,47,FA,@BUR Fri 3:00PM,317.5,8.82,98%,55.9,100%
*063zg*,Pervis Estupinan,BHA,D,48,FA,LUT Sat 10:00AM,310.25,8.86,100%,44.72,100%
*05ylj*,Bruno Guimaraes,NEW,M,49,FA,AVL Sat 12:30PM,309.75,9.68,100%,44.71,100%
*05rb8*,Moises Caicedo,BHA,M,50,FA,LUT Sat 10:00AM,304.75,8.24,92%,101.25,100%
*04f67*,Philip Billing,BOU,M,51,FA,WHU Sat 10:00AM,304.5,8.46,68%,129.95,100%
*05tr1*,Ethan Pinnock,BRF,D,52,FA,TOT Sun 9:00AM,304.5,10.15,100%,69.31,100%
*03gu5*,Andrew Robertson,LIV,D,53,FA,@CHE Sun 11:30AM,303.25,8.92,100%,31.15,100%
*02oq6*,Luke Shaw,MUN,D,54,FA,WOL Mon 3:00PM,299.75,9.67,100%,39.12,100%
*061yd*,Ivan Perisic,TOT,M,55,FA,@BRF Sun 9:00AM,299.5,8.81,57%,126.29,100%
*061ya*,Brennan Johnson,NOT,F,56,FA,@ARS Sat 7:30AM,298,7.84,94%,96.58,100%
*037mo*,Willian,FUL,F,57,FA,@EVE Sat 10:00AM,295.75,10.95,95%,85.35,100%
*03fgo*,Dominic Solanke,BOU,F,58,FA,WHU Sat 10:00AM,295.5,8.95,91%,101.03,100%
*04sjt*,Alisson,LIV,G,59,FA,@CHE Sun 11:30AM,294.25,7.95,100%,74.84,100%
*04qor*,Bernd Leno,FUL,G,60,FA,@EVE Sat 10:00AM,291.5,8.1,76%,129.12,100%
*04e1e*,Ben White,ARS,D,61,FA,NOT Sat 7:30AM,288.75,7.6,97%,95.42,100%
*0647t*,Lucas Paqueta,WHU,M,62,FA,@BOU Sat 10:00AM,287,10.25,100%,49.32,100%
*05o6h*,Kai Havertz,ARS,F,63,FA,NOT Sat 7:30AM,285.25,8.15,100%,44.47,100%
*05nzu*,Gabriel Magalhaes,ARS,D,64,FA,NOT Sat 7:30AM,280,7.37,99%,82.15,100%
*05oeh*,Kenny Tete,FUL,D,65,FA,@EVE Sat 10:00AM,279.25,9.01,97%,94.43,100%
*03scr*,Aleksandar Mitrovic,FUL,F,66,FA,@EVE Sat 10:00AM,279,11.62,88%,72.21,100%
*05gcp*,Tomas Soucek,WHU,M,67,FA,@BOU Sat 10:00AM,278.5,7.74,52%,141.63,0%
*061x2*,Darwin Nunez,LIV,F,68,FA,@CHE Sun 11:30AM,277.5,9.57,100%,25.31,100%
*03sgc*,Jordan Ayew,CRY,F,69,FA,@SHU Sat 10:00AM,274.75,7.23,36%,143.91,100%
*05ylx*,Dejan Kulusevski,TOT,M,70,FA,@BRF Sun 9:00AM,273.5,9.12,100%,43.77,100%
*04qfz*,Diogo Dalot,MUN,D,71,FA,WOL Mon 3:00PM,273,10.5,100%,74.61,100%
*02lsa*,Dan Burn,NEW,D,72,FA,AVL Sat 12:30PM,271.75,7.15,96%,100.47,100%
*03yq8*,Demarai Gray,EVE,F,73,FA,FUL Sat 10:00AM,270.25,8.19,53%,139.27,100%
*044ei*,Nick Pope,NEW,G,74,FA,AVL Sat 12:30PM,266.5,7.2,98%,97.39,100%
*04gw7*,Jadon Sancho,MUN,M,75,FA,WOL Mon 3:00PM,265,10.19,98%,81.1,100%
*03rzp*,Antonee Robinson,FUL,D,76,FA,@EVE Sat 10:00AM,264.5,7.56,74%,119.68,100%
*04yo7*,Youri Tielemans,AVL,M,77,FA,@NEW Sat 12:30PM,262.5,8.47,99%,83.81,100%
*02lz0*,Emiliano Martinez,AVL,G,78,FA,@NEW Sat 12:30PM,262.25,7.28,91%,116.05,100%
*051kl*,Emiliano Buendia,AVL,M,79,FA,@NEW Sat 12:30PM,260.75,6.86,82%,111.63,100%
*062a9*,Sven Botman,NEW,D,80,FA,AVL Sat 12:30PM,260.5,7.24,99%,88.09,100%
*04tzt*,Jefferson Lerma,CRY,M,81,FA,@SHU Sat 10:00AM,260,7.03,14%,267.36,0%
*0642l*,Casemiro,MUN,M,82,FA,WOL Mon 3:00PM,259.5,9.27,99%,64.51,100%
*05udg*,Jose Sa,WOL,G,83,FA,@MUN Mon 3:00PM,259.5,7.21,43%,136.82,100%
*03vlj*,Virgil van Dijk,LIV,D,84,FA,@CHE Sun 11:30AM,256.75,8.02,100%,45.03,100%
*04fk6*,Bernardo Silva,MCI,M,85,FA,@BUR Fri 3:00PM,254.5,7.49,99%,68.73,100%
*037mt*,Harrison Reed,FUL,M,86,FA,@EVE Sat 10:00AM,250.5,6.77,4%,413.25,0%
*04amh*,Aaron Ramsdale,ARS,G,87,FA,NOT Sat 7:30AM,247.5,6.51,94%,102.74,0%
*02lnx*,Danny Welbeck,BHA,F,88,FA,LUT Sat 10:00AM,245.5,7.92,34%,147.34,0%
*051k0*,John McGinn,AVL,M,89,FA,@NEW Sat 12:30PM,241.5,7.1,53%,136.57,100%
*0646f*,Alexander Isak,NEW,F,90,FA,AVL Sat 12:30PM,241.25,10.97,100%,21.95,100%
*0639x*,Marcus Tavernier,BOU,M,91,FA,WHU Sat 10:00AM,241.25,10.49,66%,121.62,100%
*037wp*,Christian Eriksen,MUN,M,92,FA,WOL Mon 3:00PM,239.25,8.54,77%,117,100%
*032f9*,Jordan Pickford,EVE,G,93,FA,FUL Sat 10:00AM,239.25,6.47,54%,134.93,0%
*062dt*,Joao Palhinha,FUL,M,94,FA,@EVE Sat 10:00AM,238.5,6.81,33%,142.32,100%
*062ot*,Cheick Doucoure,CRY,M,95,FA,@SHU Sat 10:00AM,238,7,12%,292.21,0%
*05os9*,Thomas Partey,ARS,M,96,FA,NOT Sat 7:30AM,237.75,7.2,16%,249.3,0%
*05tqz*,Rico Henry,BRF,D,97,FA,TOT Sun 9:00AM,236.75,6.4,59%,131.92,100%
*02lkp*,Raheem Sterling,CHE,F,98,FA,LIV Sun 11:30AM,236.75,8.46,100%,50.99,100%
*02lym*,Lukasz Fabianski,WHU,G,99,FA,@BOU Sat 10:00AM,235,6.53,14%,276.5,0%
*03rec*,Tyrone Mings,AVL,D,100,FA,@NEW Sat 12:30PM,234.5,6.7,54%,136.22,0%
*063zi*,Matheus Nunes,WOL,M,101,FA,@MUN Mon 3:00PM,231.5,6.81,19%,210.51,100%
*062cn*,Julian Alvarez,MCI,F,102,FA,@BUR Fri 3:00PM,227.5,7.34,100%,62.05,100%
*05uns*,Leon Bailey,AVL,F,103,FA,@NEW Sat 12:30PM,227,6.88,47%,141.2,0%
*05gcq*,Daniel Podence,WOL,F,104,FA,@MUN Mon 3:00PM,226.5,7.08,10%,316.13,0%
*03dyl*,Jeffrey Schlupp,CRY,M,105,FA,@SHU Sat 10:00AM,220,6.47,3%,409.64,0%
*063hu*,Amadou Onana,EVE,M,106,FA,FUL Sat 10:00AM,219.5,6.65,12%,289.18,0%
*0649i*,Antony,MUN,F,107,FA,WOL Mon 3:00PM,219.25,8.77,99%,62.64,100%
*03rxa*,Idrissa Gueye,EVE,M,108,FA,FUL Sat 10:00AM,216.25,6.55,2%,1073,0%
*04u40*,Kepa,CHE,G,109,FA,LIV Sun 11:30AM,215.75,7.44,59%,137.69,100%
*04yey*,Max Kilman,WOL,D,110,FA,@MUN Mon 3:00PM,213.25,5.76,17%,236.87,0%
*050jq*,Marc Guehi,CRY,D,111,FA,@SHU Sat 10:00AM,213,5.76,38%,135.69,0%
*02oo1*,Ben Davies,TOT,D,112,FA,@BRF Sun 9:00AM,210.75,6.8,21%,197.17,0%
*05os8*,Joachim Andersen,CRY,D,113,FA,@SHU Sat 10:00AM,206.75,6.46,53%,138.01,0%
